customers served     | total arrivals       | total queue          | dropped customers    | clock (min)          | response time (min)  | server utilization   | drop rate (min^-1)   | drop rate (%)       
48628                | 48984                | 589.6152542859782    | 356                  | 1440                 | 0.10700559415130606  | 0.6408207015977652   | 0.24722222222222223  | 0.7267679242201535
48539                | 48935                | 611.0478530669352    | 396                  | 1440                 | 0.10773355656410667  | 0.6413493908622708   | 0.275                | 0.8092367426177582
48854                | 49247                | 619.4287641461997    | 393                  | 1440                 | 0.10737578648724805  | 0.6425877878197792   | 0.27291666666666664  | 0.7980181533900543
48752                | 49119                | 619.2537132598518    | 367                  | 1440                 | 0.10720893597758957  | 0.6398269516108459   | 0.2548611111111111   | 0.7471650481483744
48388                | 48727                | 585.8443653376016    | 339                  | 1440                 | 0.10722344217996266  | 0.6392536626692324   | 0.23541666666666666  | 0.6957128491390809
48345                | 48795                | 627.4199954532378    | 450                  | 1440                 | 0.10867178034752722  | 0.6425899665351621   | 0.3125               | 0.9222256378727329
48794                | 49207                | 608.8877922178071    | 413                  | 1440                 | 0.1076133774334897   | 0.6447384226121201   | 0.28680555555555554  | 0.8393114800739732
48736                | 49137                | 636.413097442768     | 401                  | 1440                 | 0.10774988492014974  | 0.6409765700123683   | 0.27847222222222223  | 0.816085638113845
48637                | 49067                | 651.6671460990037    | 430                  | 1440                 | 0.10926633539391273  | 0.6475876094827265   | 0.2986111111111111   | 0.8763527421688712
48300                | 48685                | 629.7768353187712    | 385                  | 1440                 | 0.10876997656653478  | 0.6421795020793509   | 0.2673611111111111   | 0.7907979870596693
48758                | 49173                | 647.8693615708908    | 415                  | 1440                 | 0.10851512388579758  | 0.6449092832328527   | 0.2881944444444444   | 0.8439590832367356
48428                | 48805                | 629.3469891651184    | 377                  | 1440                 | 0.10861925482806198  | 0.6431383441102291   | 0.26180555555555557  | 0.772461837926442
48716                | 49097                | 623.9486554182658    | 381                  | 1440                 | 0.10766385067875017  | 0.6418391729974574   | 0.26458333333333334  | 0.7760148277898853
48392                | 48778                | 604.0439854855649    | 386                  | 1440                 | 0.10783199298808857  | 0.6408488008286862   | 0.26805555555555555  | 0.7913403583582763
48731                | 49088                | 614.5953622663801    | 354                  | 1440                 | 0.10796052966269643  | 0.6452874678176659   | 0.24583333333333332  | 0.7211538461538461
48571                | 48981                | 618.234651146864     | 413                  | 1440                 | 0.10783695663043169  | 0.6416462421713168   | 0.28680555555555554  | 0.8431840917906944
48717                | 49114                | 659.6738563009712    | 397                  | 1440                 | 0.10925528592562894  | 0.6476245483948613   | 0.27569444444444446  | 0.8083234922832593
48443                | 48774                | 584.1652149895381    | 328                  | 1440                 | 0.10693131264231161  | 0.6383109412084166   | 0.22777777777777777  | 0.6724894410956657
